c,largest_lyapunov_exponent,z_span
1.760000000000000009e+00,-3.060118143036982125e-03,2.508394938992403844e+00
1.765000000000000124e+00,7.529037746468405677e-04,2.518455027071435204e+00
1.770000000000000018e+00,-6.120931990340715279e-03,2.535509430628454908e+00
1.774999999999999911e+00,-1.698834880145126680e-03,2.546009036346817744e+00
1.779999999999999805e+00,3.607294249435870435e-03,2.550333613574626845e+00
1.784999999999999920e+00,-1.392115041140747902e-03,2.551383853794404466e+00
1.790000000000000036e+00,2.133491852832894908e-04,2.550385980129303398e+00
1.794999999999999929e+00,7.597794089993510636e-03,2.547992514838147926e+00
1.799999999999999822e+00,5.482047100912232004e-03,2.544633604370367230e+00
1.804999999999999938e+00,3.884887324842768632e-03,2.541582908863249557e+00
1.810000000000000053e+00,5.150627255777275731e-03,2.534199892071402616e+00
1.814999999999999947e+00,3.669075341198845680e-02,2.535157056288313449e+00
1.819999999999999840e+00,5.483060206980738122e-02,2.531964465727368996e+00
1.824999999999999956e+00,7.794519019491608081e-02,2.528741080736728097e+00
1.830000000000000071e+00,9.130210122645687765e-02,2.525534022906223974e+00
1.834999999999999964e+00,1.025538487544785243e-01,2.522184027731963596e+00
1.839999999999999858e+00,1.362696098957164592e-01,2.519051083596976159e+00
1.844999999999999973e+00,1.750659757277310269e-01,2.516085984373270357e+00
1.850000000000000089e+00,1.775899180102560593e-01,2.512487682950957701e+00
1.854999999999999982e+00,2.025717770439451337e-01,2.509461273744933330e+00
1.859999999999999876e+00,2.276891900927272838e-01,2.506361415468728371e+00
1.864999999999999991e+00,2.177232804573575875e-01,2.502629553739119217e+00
1.870000000000000107e+00,1.591181878840547403e-01,2.499955053492992185e+00
1.875000000000000000e+00,1.355101782546505595e-01,2.496483629274913074e+00
1.879999999999999893e+00,1.744400018944942676e-01,2.492319427413855593e+00
1.885000000000000009e+00,1.950488629808721508e-01,2.490289428343264166e+00
1.890000000000000124e+00,2.324922813635428576e-01,2.482696910632947507e+00
1.895000000000000018e+00,2.401904970570010178e-01,2.484096556132164402e+00
1.899999999999999911e+00,2.189455110987389430e-01,2.480327800508918656e+00
1.904999999999999805e+00,2.123123193850214863e-01,2.477758682893885567e+00
1.909999999999999920e+00,1.891577239783387987e-01,2.474762709561525220e+00
1.915000000000000036e+00,2.130441718999991629e-01,2.471456494950162508e+00
1.919999999999999929e+00,2.341475638771124967e-01,2.468231767571878343e+00
1.924999999999999822e+00,2.095518773603842755e-01,2.465152242793475779e+00
1.929999999999999938e+00,2.125445905509133759e-01,2.461981865369747169e+00
1.935000000000000053e+00,2.599363729842336657e-01,2.453377622707496819e+00
1.939999999999999947e+00,2.299533930178084551e-01,2.455012725441186205e+00
1.944999999999999840e+00,1.617053204425901447e-01,2.452502033581906105e+00
1.949999999999999956e+00,1.902309617705115752e-01,2.449720201717420665e+00
1.955000000000000071e+00,2.100105791954669232e-01,2.443657320137949895e+00
1.959999999999999964e+00,2.498930434404864898e-01,2.442973606160789402e+00
1.964999999999999858e+00,3.589946179189433539e-02,2.425438350595761516e+00
1.969999999999999973e+00,4.501181829428386322e-02,2.436921545959276791e+00
1.975000000000000089e+00,1.411990874772880988e-01,2.433334903028343099e+00
1.979999999999999982e+00,2.046485734737082396e-01,2.430825370824035048e+00
1.984999999999999876e+00,2.396740907416471666e-01,2.423554086914212036e+00
1.989999999999999991e+00,5.691153536702923954e-02,2.423782623320223539e+00
1.995000000000000107e+00,2.289957648337143381e-01,2.421861805877855378e+00
2.000000000000000000e+00,1.593651369985134569e-01,2.417419479798462056e+00
2.004999999999999893e+00,2.424334372270745552e-01,2.415053313787524303e+00
2.009999999999999787e+00,2.976108522959873270e-01,2.411377495295184303e+00
2.015000000000000124e+00,2.485431470090208317e-01,2.409398923027456618e+00
